Dorm,SortedInto,Material,Weight,Correct,Percent
Dupre,Recycling,Recycling,5.14,TRUE,97.5
Dupre,Compost,Recycling,0.05,FALSE,0.5
Dupre,Trash,Recycling,0.89,FALSE,10.7
Dupre,Recycling,Compost,0.001,FALSE,0.02
Dupre,Compost,Compost,8.01,TRUE,81.5
Dupre,Trash,Compost,4.23,FALSE,51
Dupre,Recycling,Trash,0.13,FALSE,2.5
Dupre,Compost,Trash,1.75,FALSE,17.9
Dupre,Trash,Trash,3.67,TRUE,38.2
Doty,Recycling,Recycling,0.9,TRUE,30.2
Doty,Compost,Recycling,0.095,FALSE,8
Doty,Trash,Recycling,0.16,FALSE,25.4
Doty,Recycling,Compost,0.64,FALSE,21.5
Doty,Compost,Compost,1.029,TRUE,85.7
Doty,Trash,Compost,0.18,FALSE,28.6
Doty,Recycling,Trash,0.65,FALSE,21.8
Doty,Compost,Trash,0.064,FALSE,5.3
Doty,Trash,Trash,0.24,TRUE,38.1
Turck,Recycling,Recycling,2.235,TRUE,69.3
Turck,Compost,Recycling,0.001,FALSE,0.07
Turck,Trash,Recycling,0.725,FALSE,16.7
Turck,Recycling,Compost,0.355,FALSE,11
Turck,Compost,Compost,1.105,TRUE,82.5
Turck,Trash,Compost,2.8,FALSE,64.7
Turck,Recycling,Trash,0.45,FALSE,20.8
Turck,Compost,Trash,0.14,FALSE,10.4
Turck,Trash,Trash,0.9,TRUE,20.8