Date,Trash,Recycle,Organics,Barthhold (Pig) Farm,E-waste
January 2024,9821,13474,22896,15600,21.5
February 2024,26362,29755,41162,23400,11
March 2024,24504,27306,30920,23100,58.5
April 2024,31340,31262,40560,19800,147
May 2024,24700,17133,17418,18450,56
June 2024,8943,6747,11302,10200,126
July 2024,226,6574,12830,6300,57
August 2024,3580,9324,13948,14100,83
September 2024,6800,16930,25080,23100,
October 2024,31840,15250,21780,22800,
November 2024,42820,9696,16260,19500,
December 2024,24980,6040,25010,11850,
January 2025,7120,9160,8100,10200,
February 2025,19580,9930,16540,21600,
March 2025,37340,14040,16680,18900,
April 2025,42500,14440,24140,21900,